Antenna5 - Macedonian Hit Radio Station,http://antenna5stream.neotel.mk:8000/live128
Hit Portal - Macedonian Radio Station,http://88.85.99.43:8000/hitportal
Metropolis Radio,http://94.23.62.189:6064/;stream.mp3
Sky Radio,http://s1.skyradio.com.mk:8002/;?1461419091351.mp3
Kanal 77,http://kanal77.mk:8088/live.mp3
Radio Bar,http://radiobar.radiokitstream.org/radiobar.mp3?_=1
